"order","JCS","Joincount","Expected","Variance","z.value","pvalue"
"First","Modern:Modern",771.124266965405,839.002068416866,102.175598537549,-6.71512609152247,0.999999999990605
"First","Post-medieval:Post-medieval",345.602605103781,391.899761336515,59.9811622359266,-5.97787565763401,0.999999998869669
"First","Medieval:Medieval",54.8068021208815,53.1667462211615,9.97397557272961,0.51930738739057,0.301773201307301
"First","Post-medieval:Modern",1091.05970249529,1147.26491646778,139.39805238042,-4.76045267978206,0.999999034203897
"First","Medieval:Modern",514.646438986894,422.730946698488,65.6800181943108,11.3415414766923,4.08463307025582e-30
"First","Medieval:Post-medieval",365.760184327747,288.935560859189,48.634518121471,11.0161066498782,1.5979246411814e-28
"Second","Modern:Modern",839.46922801655,839.002068416865,30.9970597003121,0.0839083203743597,0.466564662095299
"Second","Post-medieval:Post-medieval",418.019510769161,391.899761336515,18.0340203188243,6.15067428438054,3.85771114558685e-10
"Second","Medieval:Medieval",71.3133093974678,53.1667462211615,2.95573281437873,10.555086541661,2.4059797777113e-26
"Second","Post-medieval:Modern",1091.47783048402,1147.26491646778,41.2917138133198,-8.68164898388251,1
"Second","Medieval:Modern",425.299296468639,422.730946698488,19.6594957129564,0.579252585523923,0.281209376677947
"Second","Medieval:Post-medieval",297.420824864166,288.935560859189,14.4803092159564,2.22985406540355,0.0128785663683074
"Third","Modern:Modern",824.519185512715,839.002068416865,18.0468475352973,-3.4092146397992,0.999674249009932
"Third","Post-medieval:Post-medieval",394.307141966289,391.899761336515,10.1479425272555,0.755711032269126,0.224911234049567
"Third","Medieval:Medieval",60.3602497927154,53.1667462211615,1.56919926595265,5.74250544174913,4.66429400683548e-09
"Third","Post-medieval:Modern",1137.75125250474,1147.26491646778,21.8816075830255,-2.03379977417845,0.979014106338143
"Third","Medieval:Modern",435.022776660362,422.730946698488,10.8705548141443,3.72812691733109,9.64541133350424e-05
"Third","Medieval:Post-medieval",291.039393563182,288.935560859188,7.83767441741657,0.751480287082259,0.226181830047436
